textos;ODS
"""Aprendizaje"" y ""educación"" se consideran sinónimos de escolarización formal. Las organizaciones auxiliares, como las editoriales de educación, las juntas examinadoras y las organizaciones de formación de docentes, se consideran extensiones de los acuerdos establecidos por los gobiernos. Este marco de comprensión se ha vuelto cada vez más inadecuado.";4
No dejar clara la naturaleza de estos riesgos puede dar lugar a un exceso de inversión en empresas dependientes del agua y a peticiones de compensación cuando haya que reducir los derechos para evitar comprometer la calidad del agua y otros resultados medioambientales. Por ejemplo, es fundamental evitar cualquier escasez en la disponibilidad de agua para la refrigeración de centrales nucleares, ya que las consecuencias son inaceptablemente elevadas. Sin embargo, los agricultores que se dedican a cultivos anuales de escaso valor pueden estar dispuestos a renunciar al uso del agua en épocas de escasez, especialmente si pueden recuperar un mayor valor comerciando con sus derechos de agua para usos de mayor valor que el que pueden recuperar utilizando el agua. Los distintos usuarios del agua también tienen diferentes capacidades para gestionar el riesgo de escasez de agua dulce, mejorando la eficiencia, recurriendo a fuentes de agua alternativas o ajustando el calendario de su uso del agua.;6
"Como resultado, un mayor y mejorado acceso al agua puede afectar aún más la capacidad de adaptación y resiliencia de las comunidades al cambio climático. Para la adaptación, muchos marcos de resultados contienen indicadores para rastrear los impactos en estas áreas. Por ejemplo, el ""Programa Piloto para la Resiliencia Climática"" (PPCR) de los CIF y la República de Kenia (Kenia) incluyen indicadores sobre el acceso a agua segura y confiable (CIF, 2012b y Kenia, 2013). En el área de la seguridad alimentaria, Kenia también rastrea cuántas hectáreas de tierra productiva se han perdido por la erosión del suelo y cuántos hogares necesitan ayuda alimentaria como parte de sus sistemas nacionales de M&E para evaluar la resiliencia climática y la capacidad de adaptación (GoK, 2012b). ).";13
Con el Congreso firmemente en control de la jurisdicción, los recursos y la estructura de los tribunales federales, el alcance de la independencia del poder judicial es ciertamente limitado. Si hay un atributo que puede considerarse el núcleo de la independencia judicial, es la facultad de los tribunales federales de decidir los casos pendientes ante ellos. Sin embargo, en un par de decisiones recientes, la Corte Suprema ha cuestionado si el poder judicial federal posee incluso este atributo limitado de independencia. Este artículo examina cómo el Tribunal de Roberts ha desdibujado la línea entre los poderes judicial y legislativo al ceder al Congreso la autoridad para ordenar a los tribunales federales que decidan los casos pendientes de las partes en particular. Después de identificar los temas espinosos que la Corte ha dejado sin resolver, este Artículo sugiere un enfoque para resolverlos que preserva tanto el papel del Congreso en la elaboración de leyes como el núcleo de la independencia del poder judicial.;16
"Luego, dos secciones finales analizan las implicaciones para la reconfiguración de las relaciones de cuidado dentro de las familias y la reconfiguración de los ""diamantes del cuidado"" y la reproducción social. Estas tres dimensiones no son mutuamente excluyentes, de hecho, su superposición es lo que hace que el cuidado sea un fenómeno complejo. La complejidad se profundiza cuando consideramos que el trabajo de cuidado puede ser remunerado o no remunerado, realizado por mujeres u hombres, y puede tener lugar dentro del hogar o en instituciones como hospitales, residencias, guarderías, centros de atención diurna, centros sociales y comunitarios. lugares de trabajo, escuelas, oficinas y hoteles. El cuidado se ha convertido en una preocupación central de la política social debido a su relación crucial con la producción, los regímenes de bienestar y la reproducción social, así como sus implicaciones para la igualdad de género (Razavi y Hassim 2006).";5
Para los niños más pequeños (bebés y niños pequeños), la capacitación especializada y práctica parece estar más fuertemente asociada con la calidad pedagógica y los resultados cognitivos y sociales. Los educadores de la primera infancia se encuentran con entornos sociales cada vez más complejos y se encuentran con una multiplicidad de antecedentes y experiencias familiares. Estos factores crean imperativos para adoptar nuevas pedagogías y prácticas organizacionales para acomodar este pluralismo (Elliott, 2006).;4
Además, las consecuencias dañinas para el desarrollo sostenible y la seguridad alimentaria se han hecho evidentes, con renovada atención después de que los precios de los alimentos aumentaran considerablemente desde finales de 2007, antes de caer después de principios de 2008. Sin embargo, muchos países africanos importadores de alimentos pueden estar peor sin las importaciones de alimentos subvencionados, mientras que solo unas pocas economías africanas están en condiciones de aumentar significativamente su producción y exportaciones a corto plazo. Las capacidades de exportación y producción agrícola africanas ya se han visto socavadas por las últimas tres décadas de poca inversión y negligencia.;2
Además, la formación de especialistas en medicina general también incluye tareas que requieren un conocimiento más profundo de problemas comunes de salud pública, incluida la salud mental (Cuestionario de salud mental de la OCDE, 2013). Dado que no hay control en la atención primaria para limitar el acceso a los servicios de salud (mental) especializados, muchos pacientes que necesitan tratamiento (para trastornos mentales graves en particular) pueden buscar atención de nivel especializado directamente. Los servicios de especialistas en psiquiatría se brindan principalmente en las salas ambulatorias de psiquiatría ubicadas en los hospitales generales.;3
En Hai Phong, el monitoreo de la calidad del agua se lleva a cabo desde 2006 en canales, lagos, estuarios y ríos de los ríos Re, Gia y Da Do. Sin embargo, la cantidad de parámetros cubiertos y la frecuencia no son suficientes, dado el presupuesto limitado de la ciudad (Ciudad de Hai Phong, 2015). Además, para fortalecer el control de fuentes de contaminación con la industria, la ciudad debe invertir en la instalación de estaciones de monitoreo en tiempo real en los principales sistemas de agua y poner los datos a disposición del público. El sistema de alcantarillado de la ciudad de Hai Phong, que es similar a otros sistemas en áreas urbanas de todo el país, es un sistema de drenaje tributario en el que el agua de lluvia y las aguas residuales fluyen a través del mismo sistema.;11
Este capítulo se enfoca en las formas en que la policía enfrenta problemas más serios, específicamente el terrorismo y el crimen organizado. A primera vista, aparecen diferencias obvias entre los géneros. Mientras que el terrorismo tiene motivaciones políticas y tiene como objetivo lograr un cambio social utilizando la violencia extrema contra personas, lugares y eventos (Hoffman, 2006), el objetivo fundamental del crimen organizado es lograr ganancias personales. Sin embargo, en una inspección más cercana es evidente cierta superposición. Los delincuentes del crimen organizado pueden comprometerse con terroristas si aumenta la rentabilidad de sus acciones, mientras que los terroristas corresponderán si el enlace ayuda a su actividad o les proporciona los bienes o servicios ilegales necesarios para facilitar sus acciones. Además, dado que los terroristas y los delincuentes del crimen organizado son oponentes conscientes sofisticados y, a menudo, de naturaleza transnacional, también comparten características operativas, lo que significa que el enfoque de aplicación de la ley para abordar estos delitos también comparte similitudes.;16
